Id_bien;No_voie;B/T/Q;Type_voie;Voie;Surface_carrez;Type_local;Nombre_pieces;codedep_codecom
6361;9;;RUE;AIMEE ANTOINETTE CAMUS;79,97;Maison;4;33550
6362;9001;;RES;SARCIGNAN;75,3;Appartement;5;33550
6363;2;;RUE;COLETTE BESSON;48,1;Appartement;2;33550
6364;2;;CHE;DES FOINS;33,39;Maison;2;33550
6365;2;;RUE;BALZAC;89,78;Maison;5;33550
6366;9001;;RES;SARCIGNAN;62,48;Appartement;4;33550
6367;3;;RUE;DU 19 MARS 1962;48,17;Appartement;2;33550
6368;2;;RUE;DES PROMENADES;55;Appartement;3;33080
6369;9001;;RES;SARCIGNAN;42,44;Appartement;2;33550
6370;13;;RUE;MAURIAC;77,94;Maison;4;33550
6371;9001;;RES;DOMAINE DE LA HE;67,78;Appartement;3;33550
6372;159;;RUE;LAROCHE;41,04;Appartement;2;33080
6373;23;;RUE;LAMARTINE;91,25;Maison;4;33550
6374;94;;AV;SADI CARNOT;140,82;Maison;7;33550
6375;3;;RUE;DU LEVANT;54,6;Appartement;3;33550
6376;267;;RUE;TRUCHON;67,07;Appartement;3;33080
6377;4;T;RUE;EMILE LALANNE;114,47;Maison;2;33550
6378;4;;ALL;DES IRIS;44,8;Appartement;2;33550
6379;199;;AV;DES PYRENEES;34,41;Appartement;1;33550
6380;171;;RUE;DE L ORMEAU;41,85;Appartement;2;33080
6381;39;;AV;MAL DE LATTRE DE TASSIGNY;58,13;Appartement;3;33550
6382;158;;AV;DU GEN DE GAULLE;39,78;Appartement;2;33080
6383;5;;RTE;DE LEOGNAN;63,76;Appartement;3;33550
6384;1672;;AV;DU GEN DE GAULLE;42,87;Appartement;2;33080
6385;10;;RUE;DU LEVANT;64,82;Appartement;4;33550
6386;5;;RUE;DU LEVANT;64,9;Appartement;4;33550
6387;558;;RTE;DE TOULOUSE;47,74;Appartement;2;33550
6388;40;;RUE;FONTENELLE;62,1;Appartement;3;33550
6389;2;;RUE;PHILIPPE DESTRIBATS;78,11;Appartement;4;33550
6390;165;;RUE;DE L ORMEAU;42,22;Appartement;2;33080
6391;40;;RUE;FONTENELLE;47,38;Appartement;2;33550
6392;9001;;RES;SARCIGNAN;62,56;Appartement;4;33550
6393;40;;RUE;DES FRENES;68,72;Maison;3;33080
6394;2;;CHE;DES FOINS;33,9;Maison;2;33550
6395;2;;ALL;DES IRIS;29,88;Appartement;1;33550
6396;3;;RUE;DU 19 MARS 1962;71,83;Appartement;3;33550
6397;13;;RUE;ARISTIDE BRIAND;21,93;Appartement;1;33119
6398;15;;RUE;DU DOC SCHWEITZER;89,25;Appartement;5;33119
6399;5;;RUE;EUGENE DELACROIX;66,33;Appartement;3;33119
6400;29;B;RUE;GASTON DEFERRE;41,12;Appartement;2;33119
6401;50;;AV;RENE CASSAGNE;35,27;Appartement;2;33119
6402;11;;RUE;DU ONZE NOVEMBRE 1918;52,93;Appartement;2;33119
6403;30;;RUE;ARISTIDE BRIAND;78,27;Appartement;4;33119
6404;9;;RUE;DU HUIT MAI 1945;92,6;Appartement;5;33119
6405;4;;RUE;PIERRE CURIE;18,13;Appartement;1;33119
6406;4;;RUE;BERNARD PALISSY;66,91;Appartement;3;33119
6407;13;;RUE;DU HUIT MAI 1945;87,71;Appartement;5;33119
6408;40;;RUE;BRUNEREAU;34,5;Maison;4;33119
6409;4;;RUE;PIERRE CURIE;18,29;Appartement;1;33119
6410;1;;RUE;PAUL VERLAINE;71,1;Appartement;3;33119
6411;4;;RUE;PIERRE CURIE;17,42;Appartement;1;33119
6412;19;;RUE;DU ONZE NOVEMBRE 1918;54,89;Appartement;2;33119
6413;13;;RUE;ARISTIDE BRIAND;22,45;Appartement;1;33119
